idea,title_a,title_b,title_b_preferred
text embedding models,Top 3 Text Embedding Models Every Data Scientist Should Know,Text Embedding Models: From Theory to Practice,1
multimodal RAG,Master Multimodal RAG in Just 10 Minutes,Why Multimodal RAG Is the Next Big Thing in AI,0
model pruning,The Surprising Benefits of Model Pruning for Beginners,Reduce Model Size & Boost Performance with Pruning,1
"Fractals, self similarity, and crinkliness",The Beauty of Fractals: Exploring Infinite Crinkliness,The Math Behind Fractals: Crinkliness and Beyond,1
Fine-tuning LLMs for computer use,The Ultimate Guide to LLM Fine-Tuning,Boost Your LLM Skills: Fine-Tuning for Computer Use,0
LLM alignment,7 Key Steps for LLM Alignment Success,The Future of LLM Alignment: What You Should Expect,1
How I become a data scientist (my journey to data science from Physics),My 5-Year Leap from Physics to Data Science,Overcoming Challenges: My Data Science Journey,0
multimodal AI,Multimodal AI: The Future of Data Processing,Multimodal AI: Beyond Text for Better Insights,0
How I become a data scientist (my journey to data science from Physics),How I Switched to Data Science (My Story),Overcoming Challenges: My Data Science Journey,0
causal discovery,How Causal Discovery Can Revolutionize Your Work,Master Causal Discovery with These 3 Simple Steps,1
Gradient descent,5 Key Steps in Gradient Descent Explained,Speed Up Machine Learning with Gradient Descent,0
Building an LLM from scratch,Build Your Own LLM: The Step-by-Step Guide,From Scratch: How I Built an LLM in 5 Days,0
Fine-tuning LLMs to think (advanced reasoning),How to Make LLMs Think Better: Tips Revealed,Mastering LLM Fine-Tuning for Advanced Reasoning,1
5 AI project ideas,5 AI Projects That Will Blow Your Mind!,AI Projects for Beginners: 5 Ideas,1
wavelet transform,Wavelet Transform: Decoding Signals Like a Pro,Quick Guide to Wavelet Transform for Beginners,1
AI engineer vs ML engineer,AI Engineer vs ML Engineer: Who Wins?,Key Differences: AI Engineer vs ML Engineer Explained,1
Why I quit my 6F data science job,6 Months and $100K Later: My AI Journey Post-Job,From Data Scientist to Entrepreneur: My Unexpected Path,0
5 AI automation use cases,How AI Automates These 5 Tasks Effortlessly,From Manual to Automated: 5 AI Case Studies,0
