,idea,title_a,title_b,title_b_preferred,prompt,chosen,rejected
0,text embedding models,Top 3 Text Embedding Models Every Data Scientist Should Know,Text Embedding Models: From Theory to Practice,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: text embedding models\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Text Embedding Models: From Theory to Practice'}]","[{'role': 'assistant', 'content': 'Top 3 Text Embedding Models Every Data Scientist Should Know'}]"
1,multimodal RAG,Master Multimodal RAG in Just 10 Minutes,Why Multimodal RAG Is the Next Big Thing in AI,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: multimodal rag\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Multimodal RAG in Just 10 Minutes'}]","[{'role': 'assistant', 'content': 'Why Multimodal RAG Is the Next Big Thing in AI'}]"
2,model pruning,The Surprising Benefits of Model Pruning for Beginners,Reduce Model Size & Boost Performance with Pruning,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: model pruning\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Reduce Model Size & Boost Performance with Pruning'}]","[{'role': 'assistant', 'content': 'The Surprising Benefits of Model Pruning for Beginners'}]"
3,"Fractals, self similarity, and crinkliness",The Beauty of Fractals: Exploring Infinite Crinkliness,The Math Behind Fractals: Crinkliness and Beyond,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fractals, self similarity, and crinkliness\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Math Behind Fractals: Crinkliness and Beyond'}]","[{'role': 'assistant', 'content': 'The Beauty of Fractals: Exploring Infinite Crinkliness'}]"
4,Fine-tuning LLMs for computer use,The Ultimate Guide to LLM Fine-Tuning,Boost Your LLM Skills: Fine-Tuning for Computer Use,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: fine-tuning llms for computer use\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Ultimate Guide to LLM Fine-Tuning'}]","[{'role': 'assistant', 'content': 'Boost Your LLM Skills: Fine-Tuning for Computer Use'}]"
5,LLM alignment,7 Key Steps for LLM Alignment Success,The Future of LLM Alignment: What You Should Expect,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: llm alignment\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'The Future of LLM Alignment: What You Should Expect'}]","[{'role': 'assistant', 'content': '7 Key Steps for LLM Alignment Success'}]"
6,How I become a data scientist (my journey to data science from Physics),My 5-Year Leap from Physics to Data Science,Overcoming Challenges: My Data Science Journey,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how i become a data scientist (my journey to data science from physics)\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'My 5-Year Leap from Physics to Data Science'}]","[{'role': 'assistant', 'content': 'Overcoming Challenges: My Data Science Journey'}]"
7,multimodal AI,Multimodal AI: The Future of Data Processing,Multimodal AI: Beyond Text for Better Insights,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: multimodal ai\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Multimodal AI: The Future of Data Processing'}]","[{'role': 'assistant', 'content': 'Multimodal AI: Beyond Text for Better Insights'}]"
8,How I become a data scientist (my journey to data science from Physics),How I Switched to Data Science (My Story),Overcoming Challenges: My Data Science Journey,0,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: how i become a data scientist (my journey to data science from physics)\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'How I Switched to Data Science (My Story)'}]","[{'role': 'assistant', 'content': 'Overcoming Challenges: My Data Science Journey'}]"
9,causal discovery,How Causal Discovery Can Revolutionize Your Work,Master Causal Discovery with These 3 Simple Steps,1,"[{'role': 'user', 'content': 'Given the YouTube video idea write an engaging title.\n\n**Video Idea**: causal discovery\n\n**Additional Guidance**:\n- Title should be between 30 and 75 characters long\n- Only return the title idea, nothing else!'}]","[{'role': 'assistant', 'content': 'Master Causal Discovery with These 3 Simple Steps'}]","[{'role': 'assistant', 'content': 'How Causal Discovery Can Revolutionize Your Work'}]"
