index,notes,Double CTA,Bad hook,Factual errors,Didn't use user hook,Extra text after CTA,Missing my experience/insight,Hook-Body Discrep,Misunderstood input,Uncharacteristic body structure,Uncharacteristic voice,Didn't follow writing steps,Failed to write post
0,"Hook sounds too salesly. Also it's 2025 not 2024, but that's not a big deal.",False,True,True,False,False,False,False,False,False,False,False,False
1,System failed to use the hook provided by user. Hook generated is  weak.,False,True,False,True,False,False,False,False,False,False,False,False
2,Failed to use provided hook. Provided hook is weak. Superfluous line after CTA/question.,False,True,False,True,True,False,False,False,False,False,False,False
3,"Failed to use provided hook. However, the one generated is pretty good.

Most of the use cases written are things I don't do.",False,False,False,True,False,True,False,False,False,False,False,False
4,"Failed to use provided hook. But the one is wrote was okay. Repetition of ""first AI agent"" in first 2 lines sounds weird.",False,False,False,True,False,False,True,False,False,False,False,False
5,"Misinterpreted 70k as a dollar figure not follower count.

CTA has two questions. System should pick one. Also line after CTA may be superfluous.",True,False,False,False,True,False,False,True,False,False,False,False
6,"Failed to use provided hook. Final hook makes a big claim of ""no experience required""

Habit tracker might take more than an hour.

CTA has two questions. System should pick one.",True,False,True,True,False,False,False,False,False,False,False,False
7,Two CTAs. System should pick one.,True,False,False,False,False,False,False,False,False,False,False,False
8,"Hook is weak. System should have iterated on a few ideas.

System wrote 2 questions. It should pick one.",True,True,False,False,False,False,False,False,False,False,False,False
9,"Failed to use provided hook. Final hook is weaker. System should have iterated on hook ideas and considered user input.

Body is not aligned with the narrative I had in mind. It focuses too much on wealth and money terms and not the main point which is learning. 

Body has too many questions.",False,True,False,True,False,True,False,False,True,False,False,False
10,"Failed to discuss software 1.0, software 2.0, and software 3.0 in the body.

Post has 2 CTA questions in it. It should pick one.",True,False,False,False,False,True,False,False,False,False,False,False
11,"Hook is a little salesy. A pain-focused one would have been better.

Body falsely claims all projects are beginner-friendly when they range from beginner to advanced.",False,True,True,False,False,False,False,False,False,False,False,False
12,Bullet point explanations in the body don't sound like something I would say.,False,False,False,False,False,True,False,False,False,True,False,False
13,"The mention of ""Linux configs"" feels esoteric and not a pain point for mac users.

Post include two CTA questions. System should pick one.",True,False,False,False,False,True,False,False,False,False,False,False
