index,video_id,winner,winner_swapped,rouge_l_f1_A,rouge_l_f1_B
14,e3p9-hYxwSQ,A,A,0.46334310850439886,0.2548076923076923
19,PFBI-ZfV5rs,A,A,0.23179438362684437,0.1779100529100529
17,3JsgtpX_rpU,B,B,0.11732531108984001,0.08398228737211788
15,jGn95KDWZMU,A,B,0.5571183533447684,0.3002855977152183
12,VKLLyv9cJSQ,A,A,0.06601873741353646,0.06016911437472185
4,4RAvJt3fWoI,B,A,0.16519872696321514,0.08610175662146173
28,tFHeUSJAYbE,A,A,0.21358801823312348,0.17555025192256696
9,Y7pNmocrmi8,A,A,0.20422447194100737,0.14744673655732163
5,fpL5fMmJHqk,A,A,0.2689682858289843,0.24287222808870115
24,MX7ymkYGiZ0,A,A,0.20137750081994096,0.1933609958506224
2,_Wjn0gm4g20,A,A,0.32598096122591136,0.18702290076335878
18,3PIqhdRzhxE,A,B,0.19585155919288838,0.13561076604554867
10,0cf7vzM_dZ0,A,A,0.2543832347753916,0.12990680598700932
3,pNg2DJ4spXg,A,A,0.21666241170964173,0.10097822656989586
6,bAe4qwQGxlI,A,B,0.37495746852670975,0.31266441187523486
13,czvVibB2lRA,A,B,0.24651522973670625,0.14084507042253522
26,ZLbVdvOoTKM,B,A,0.27751834556370913,0.11774415405777165
11,jan07gloaRg,B,A,0.2600058428279287,0.12473368196784816
30,tufdEUSjmNI,B,B,0.2184016625732099,0.16662244627222075
23,tMiQIxSX64c,A,A,0.5042168674698794,0.320704845814978
20,rPUytg38b6Q,A,A,0.21198868021610495,0.15737051792828685
22,XpoKB3usmKc,A,A,0.23328233282332825,0.0993309315491508
27,GgLaP4Des1Q,A,A,0.21301775147928997,0.1775636613902271
25,eC6Hd1hFvos,B,B,0.09083456304312182,0.1502403846153846
1,wJ794jLP2Tw,A,A,0.1733350056440487,0.0952959028831563
7,WqASiuM4a-A,A,A,0.27734261676820426,0.22312556458897922
16,sxvyBxLVvKs,A,A,0.2333785617367707,0.23356732610082964
8,Ylz779Op9Pw,A,A,0.26597966856983707,0.1465791145943656
21,xm9devSQEqU,A,B,0.226407986438124,0.21866325005338458
29,mj86XmfOniY,A,A,0.1731718259309107,0.23673827268741784
