Comment,Response
"This is a about as perfect a coverage of this topic as I could imagine. I'm a researcher with a PhD in NLP who trains LLMs from scratch for a living and often find myself in need of communicating the process in a way that's digestible to a broad audience without back and forth question answering, so I'm thrilled to have found your piece! As an aside, I think the token order on the y-axis of the attention mask for decoders on slide 10 is reversed",Thanks Sean! It's always a challenge to convey technical information in a way that both the researcher and general  audience can get value from. So your approval means a lot :) Thanks for pointing the out. The blog article has a corrected version: https://medium.com/towards-data-science/how-to-build-an-llm-from-scratch-8c477768f1f9?sk=18c351c5cae9ac89df682dd14736a9f3
This was a very thorough introduction to LLMs and answered many questions I had. Thank you.,"Great to hear, glad it was helpful :)"
Thank you so much for putting these videos together and this one in particular. This is such a broad and complex topic and you have managed to make it as thorough as possible in 30ish minute😮 timeframe which I thought was almost impossible.,"My pleasure, glad it was informative yet concise :)"
Honestly the most straightforward explanation I've ever watched. Super excellent work Shaw. Thank you. It's so rare to find good communicators like you!,"Thanks, glad it was clear "
"Wow dude, just you wait, this channel is gonna go viral! You explain everything so clearly, wish you led the courses at my university.",Thanks for the kind words! Maybe one day 
"Hi, what PCA data specifically did you put into ICA? Did you take the variable loadings of each of the 21 PCs? Was that your data frame? I am trying to do this for financial data, would be awesome if you took the output of your PCA video and ran ICA on top of that","Hey, thanks for the question! The transformed EEG signals (i.e. 21 principal components) are what are fed into the ICA function. The data structure is an array where rows correspond to time points and columns to each of the principal components. That sounds like a cool idea! It should be simple to implement. If you are using sklearn, you can use a X_pca = pca.fit_transform(X) to get the transformed data, then a X_ica = ica.fit_transform(X_pca) to apply ICA to the principal components. PCA: https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.PCA.html#sklearn.decomposition.PCA ICA: https://scikit-learn.org/stable/modules/generated/sklearn.decomposition.FastICA.html Hope that helps!"
"Hi Shawhin, thank you for the clear explanation about ICA I tried your code without any modifications and every time I ran the script, the results are different. Like everytime the resulting signal without blink is different in shape and amplitude, is that normal? Also, when I plot the original data (64 channels) vs the resulting data_noblink, each channel is not consistent regarding its positions (like data from channel 1 (Data(:,1)) is now in Data(:,6) and so on. My question is, is there a random effect of using ICA that I didn't catch when inverse PCA transform happens? if so, can I use a seed or similar to control this randomness?","Great question. The ICA implementation here introduces randomness into the code. Quickly skimming the MATLAB doc, it's not immediately obvious how one can control it, but I have provided the link below for you reference. https://www.mathworks.com/help/stats/rica.html#bvnjjp8-5 Hope that helps!"
"10/10 video, no nonsense, no random personal opinions or bias. Thanks!","Thanks, glad u liked it :)"
"This tutorial has been very helpful! One question - how did you create the assets/img folder in your portfolio repository? The only option I'm seeing is to Add a File, but not an option to create a folder so I can create one for the assets and images.","Good question! When you hit “Add a File”, you can prepend the filename with the path e.g. assets/img/headshot.png"
Ive had a class on Neurotech and they did not explain any of this but expected me to write a program using ICA feature selection. I found nothing usefull until this video. thank you so much,I was in a similar situation. That’s a big reason for this video. Glad it was helpful!
"Very clear, thanks! The examples with the mic and blinks were a great inclusion imo. They made ICA much easier to understand while also displaying the practical application in a fun way :)",Glad it was helpful!
"you explained totally wrong, and waist my time.","I’m sorry, which parts are wrong?"
Awesome video ... never knew wavelets were this powerful.,"Definitely, they are a great thing to have in the toolbox. Thanks for your comment!"
"Epic, very useful for my BCI class","Thanks, glad to hear!"
"Hi , Shawhin talebi  I didn't understand what are those scales you plot next to the ECG signal and what is their relationships with coefficients T(m,n) in the mathematical formula","Hi Momomt, thanks for your question! T(m,n) is the coefficient corresponding to the basis wavelet with scale m and location n. Scale sets how ""stretched"" or ""squished"" the wavelet is, while the location sets where the wavelet is positioned. The first plot shown in the example, shown these coefficents for each choice of scale (e.g. 2^1, 2^2, 2^3, ...) and each choice of location i.e. time (x-axis). I hope the clears things up!"
"Hi , I have a question, does this woks on ECG signal that are ""changing""?  Like CPET(Cardio- pulmonary Exercise Testing)  for example. Those ECG contains three stage, resting phase -> exercise phase -> recovery phase, So the heartbeat rate should be changing a lot, will MODWT still work on these kind of data?","That’s a good question! The short answer is yes. Ultimately it comes down to what you are after. If it is to find r peaks, like we did here, it shouldn’t be an issue. Hope that helps!"
Do you think I should use Wavelet Transform for EEG (electroencefalogram) data or should I use Fast fourier Transform? how do you chose? Thanks for the video and the code.,"The answer to your question is yes. Both are good! Each extract different information. Wavelet transform does a good job at capturing localized oscillations (like a blip or a chirp) in time series. FFT is great at getting global frequency information, meaning oscillations that persist over the whole signal. You can also ""chop up"" your EEG signals into epochs in which you perform an FFT, or even further, do sliding window over the entire signal and compute the FFT at each instance. Hope that helps!"
"hi sir, what does 4  means in sym4 is there  any special  meaning  behind numbers in  wavelets Eg:  sym1,sym2,....,Db1,Db2,...","That's a good question, cause I had to look it up. According to wikipedia, for Daubechies wavelets the number in db1 refers to the number of vanishing moments. For Symlets, these are created from Daubechies wavelets so I assume sym4 means it is generated from the db4 wavelet."
Thank you very much for this playlist! I'm doing my bachelor thesis on Learning Causal Structures form observational data and your videos are a great introdution.,Wow that's so cool! Glad the videos were helpful. Good luck on your thesis 
Thank you for the Great video! I have a question on how to learn DAG when the variables in the data are continuous not just discrete (Boolean or categorical)?,"Thanks for the question! The techniques I discussed here should work for both continuous and discrete data. However, we can always discretize a continuous variable through binning or breaking down it into quantiles."
"This is really great :-) I wonder though if it works for time-series and one-time events. For example, can you infer the effect of an event (a tweet from Bidon) to an uprise of S&P index?",I can see it working for time series after a little data preparation. One-time events feel more challenging but I’m sure there is something out there for those too.
In GES algorithm how are the direction of the edges determined?,"Hi Oiendrila, thanks for your question! GES starts with an empty graph (i.e. nodes with no edges), then directed edges are iteratively added based on some choice of score (e.g. BIC). So unlike the PC algorithm, there is no need to oriented edges as an extra step. Hope that helps!"
