video_id,datetime,title,transcript
eayzAZltV9U,2024-04-29T13:54:55.000000,4 Lessons from AI Consulting #freelancing,are four things I've learned from AI Consulting one trust is more important than anything else in my experience what differentiates clients from prospects is the belief that I could solve their problem and that I was on their side two don't skip the discovery phase when providing Technical Services it's easy to jump right into the coding the problem with this however is that you can spend a lot of time and money solving the wrong problem three find your number one sales Channel although there are several ways to get clients for example upwork referrals conference speaking content creation ads and more I and others that I've met in the space get most of their leads through one key sales Channel fourth and finally it's not real until the money's in the bank this is a lesson I've learned over and over again from Great Discovery calls that ended in nothing
03x2oYg9oME,2024-04-25T15:16:00.000000,How to Manage Data Science Projects,this video is part of a larger series on full stack data science in the previous video of this series I introduced this idea of a full stack data scientist and described the four hats that it involves in this video I'm going to dive into the first of these four hats which is that of a project manager I'll start by introducing a five-step project management framework specifically for data science and then I'll walk through a concrete example of the project manager role in implementing this framework and if you're new here welcome I'm Shaw I make videos about data science and Entrepreneurship and if you enjoy this content please consider subscribing that's a great no cost way you can support me in all the videos that I make before diving into the framework I think it's helpful to take a step back and ask ourselves why do we need project management while there surely cases where project management feels more like red tape and constraints as opposed to something that pushes a project forward the way I see it just just a little bit of planning and structure can go a very long way when it comes to implementing projects that involve a lot of moving pieces here are a few reasons for that first project management involves all of the planning and scoping for a project just like how an architect will draw out a blueprint for a building before it's actually built project managers will draw out the blueprint of a project before it is implemented next data science projects often involve bringing together multiple pieces this includes data sets compute Technologies and of course this involves people these could be individual contributors they could be your stakeholders or other people involved in making the project happen and then finally project management helps keep projects on time and on budget so while this video is specifically about data science projects everything that I said here is not something unique to data science projects in fact these three things are going to be relevant to project management in any domain however there are some unique considerations for data science projects which brings up a five-step project management framework that I like to use When approaching a model build or the development of some other datadriven solution the framework is shown here where it's broken down into five phases starting from phase zero which is what I call the problem definition and scoping phase phase one is the data acquisition exploration and preparation we can also think of this is all the data engineering work next is phase two which is the solution development this could be training a model or it could be doing some kind of analytics this will typically involve a data scientist or maybe even a data analyst next phase three is the solution deployment so this is actually taking the solution and putting it into the real world so that it can actually have an impact and then finally phase four is the evaluation and documentation step let's dive into each of these phases a bit more deeply starting with phase zero the problem definition and scoping phase this will involve formulating the business problem basically asking ourselves what problem are we actually trying to solve next is designing a solution to that problem any given problem will have countless ways it can actually be solved so it's important to make a decision on the best way one can solve the problem at hand finally defining the project requirements and road map so in other words what do we need to make this project happen and what will the implementation look like next we have phase one which is the data acquisition exploration and preparation so this might involve looking at internal datab bases looking to third-party data vendors or any other data source evaluating available data also means asking the question do we have sufficient information to solve the problem at hand another key step of this phase is acquiring and exploring the data so this includes things like exploratory data analysis where one is just trying to get a sense of the information that can be gleaned from the data set and then finally the development of data pipelines so this is your extract transform and load pipelines or your extract load and transform pipelines next we have phase two which is the solution development so this might be the part most people are excited about which is the model development so developing Ai and Data Solutions but it's not just about training a model or building some other analytic solution it's also about evaluating that solution in terms of its validity and the value that it generates and this evaluation process will often involve iterating with stakeholders next we have phase three which is solution deployment so the basic idea here is to integrate the solution into the real world business context whether that's automating a particular workflow or making information available to stakeholders via a dashboard maybe updating a widget on a website so this can take many different forms additionally for some sort of intervention you know you're updating a business process you also may need to implement a solution monitoring pipeline it's not just about making a change and walking away but making a change and consistently evaluating the efficacy of that change and then finally phase four is the evaluation and documentation step so this involves assessing project outcomes and comparing them against the expectations from the outset of the project this is also delivering technical documentation and user guides and then finally doing a perspective reflecting back on the project looking at things that went well looking for opportunities for improvement considering the Future Works and the limitations of the current project and starting to talk about the obvious next steps and of course we have these feedback loops in this five-step framework some key ones are shown here where you may come to phase one and you might be evaluating the available data and you may find that we thought we could solve this problem we could build this model with the data we have internally available but upon further investigation that's not the case and we'll have to figure something else out so that'll require going back to phase zero and asking ourselves okay how can we get this data do we look to a data vendor do we try to get it from publicly available sources another key feedback loop is between phases 2 in phase one so say during model development there seems to be some kind of bias in the model and then upon further investigation you find that a particular exception wasn't properly handled in the transform phase or the data pre processing step so that'll require going back to phase 1 updating the data preparation Pipeline and then returning back to phase 2 to train the model another feedback loop is from Phase 2 to phase zero so the data may be properly pre-processed and there's nothing wrong with it but still upon training the model the predictive performance may not be as good as the existing solution so this might require going back to phase zero and reassessing the solution design and asking is there a better way we can solve this problem the final feedback loop is if everything goes according to plan value is generated but of course no project is ever complete there are always opportunities for improvement and then You' return back to phase zero to start building a broader solution so while the project manager is ultimately responsible for the successful implementation of the project and ensuring that each of these phases happens the key contribution of the project manager is this phase zero because if this phase zero is is not done properly it's going to cause problems in every subsequent phase of the project so this brings us to the key role of the project manager which is this phase zero the problem definition and scoping and as we saw on the previous slide this consists of three key steps the first is the problem diagnosis it's often the role of the project manager to collaborate with stakeholders and project owners to get a clear understanding of the problem that they're trying to solve and it's critical to get this step right because if you think about it if you don't diagnose the problem properly you can spend a lot of time and effort solving the wrong problem which no one wants the stakeholder doesn't want that and the team doesn't want that so being able to facilitate these conversations with stakeholders is a key skill of any project manager while I won't go too deeply into what this might look like I do have an entire video dedicated to this topic which I'll link up on the screen here so once you have a clear idea of what problem you're trying to solve then comes the task of identifying the best way to solve that problem so this requires a project manager to bring together a lot of different information they have to bring together the business context the priorities of the stakeholder they have to consider the available Technologies the available resources the available data the available budget the available timeline and they're also might be competing priorities and beyond that any given problem will have a wide range of potential Solutions and varying degrees of complexity and scope so at the end of the day the project manager has to synthesize this information to help the stakeholder or the project owner make the BET of what's the best way to solve the problem and then finally is the implementation plan once the solution has been defined there's still the matter of the details of what this thing's actually going to look like and how it's going to be built and even still any given solution can have a wide range of potential implementations so to make this more concrete I'm going to walk through a concrete case study the point of this is to one perform the phase zero for this project that I'm building but the second is to walk through step by step what it looks like being a full stack data scientist and so here this is me putting on the project manager hat for this project starting with a bit of background I make content on YouTube and write articles on medium what this looks like is I'll make content about whatever is interesting to me whatever I'm curious about or things that I've personally experienced since I am just talking about whatever's interesting to me it might be difficult for people to navigate all the different pieces of content I make across these two platforms which brings up the problem potentially I talk about too many topics across too many platforms so to kind of give a flavor for this I'll talk about things from topological data analysis AI for business causal inference how much I made writing on medium how to get a data sign job more philosophical things like what it means to be antifragile more personal things like my struggles with anxiety and now to this series of becoming a full stack data scientist so someone who's seeing this content for the first time or is trying to navigate this very diverse landscape of content might have trouble finding the content that's most relevant to them which brings up the proposed solution which is a semantic search function for my YouTube videos what this might look like is a page where users can type in a natural language query or a question and then the web page will return search results of YouTube videos relevant to that query so this only addresses half of the problem I mentioned on the previous slide which is I make too many topics on too many channels this only solves that first problem of too many topics so the hypothesis is if these topics are more easily searchable and they're easier to navigate then more people will engage with the content and then more people will share the content and that will promote the growth of the YouTube channel and so you might be thinking Shaw why are you just solving half the problem why not solve the whole problem that brings up this broader question of should I build a POC or a proof of concept I know there are a lot of different opinions on poc's and some people love them some people hate them I personally believe that poc's are very valuable when it comes to building machine learning projects you can do all sorts of interesting things with machine learning but of course of all these interesting things you can do only a small subset of them actually generate value so the first reason why I believe in Po's is that they help you validate the idea I can put together this proof of concept version of the web page I can make it available to some people in my audience I can make it available to some people that I know and they can provide me feedback which will help in making this decision of is this something worth pursuing or should I just cut my losses and move on to something else the second reason is often with data science projects efforts tend to stack on top of each other so if I properly build this proof of concept for YouTube videos it should only be a marginal effort to include my medium articles into the same interface now that we have a clear picture of what the solution will look like how do we actually make that happen that brings us to the implementation plan the first part of which are the project requirements so this includes the roles the data the compute infrastructure and the Technologies needed to implement the project here I list off the roles of the full stack data scientist so these are the four hats mentioned in the previous video the first is the project manager then we have the data engineer data scientist and ml engineer and what's important to note even if you are a full stack data scientist maybe you still want to bring in a data engineer or a data scientist to help you build the project or maybe you want multiple data Engineers or maybe you want to bring in someone to do the data science and the ml engineering piece while you just do the project manager and data engineering piece so it's important to note that roles do not equal people multiple people can do multiple roles and a single role can be done by multiple people the next is the data requirements so here I put an evaluation data set which will consist of 50 query video pairs that will help evaluate the quality of the search so in other words I need a data set I can use to evaluate the performance of the search function that I built so what that'll look like is a list of 50 queries and an associate ated YouTube video ID with that query for infrastructure I'm going to use AWS light sale which makes it super easy to deploy Docker containers and then finally Technologies I included all that I could think of at least at this point so I'm going to use Python for basically everything I'm going to use the YouTube API to pull in some data there's a python library that downloads the automatically generated captions of a YouTube video going to use pandas or polers to handle the data structures the sentence Transformers library to generate text embeddings fast API to make an API Docker to containerize scripts and then gradio to spin up a front end and then finally I'm going to put everything in a GitHub repo and have the documentation be part of that repo next we have the project road map so this consists of a few different things these are the project Milestones which I map to phases 1 through four of the five-step project management framework discussed earlier then we have a task description so what are the tasks that make up this Milestone or this phase assigning a role to each task and assigning a due date to each task you can add more things here like a more detailed description or acceptance criteria but I would say that these four elements of Milestone task roll and due date are the bare minimum you need to make a proper project roadmap I'll just kind of briefly fly through these I don't want to spend too much time reading it but you can always pause the video and read through these if you like phase one is all the data engineering stuff so this is extracting the transcripts and saving them as a paret file phase two will consist of exploring multiple embedding models and testing the search function using the evaluation data set and then once that's done creating a video index that is searchable phase three will consist of building an API for this search function containerizing it testing it locally building a simple gradio UI and then deploying it on AWS SP war will consist of creating the documentation and doing a project retrospective so future videos of this series will walk through each of these steps and I haven't built this you're seeing this thing live you're seeing this thing raw so I'm sure there's going to be some changes here things are going to come up that I didn't expect and I'm going to have to come back to phase zero maybe I fall behind on the due date since this is an independent project I don't have a manager I don't have a broader team holding me accountable but committing to these due dates on this video and committing to posting a video every single week on YouTube is helping give me structure to this project and keeping me motivated so everyone's comments from the previous video saying I'm excited for the next video of this series were actually very helpful to me to sit down and be productive and work on this project the next video of the series is going to walk through phase one of this project so everything I described in the previous slide so at a high level this will consist of building a data pipeline more specifically an extract load and transform pipeline so what that'll look like is we'll start by extracting video captions from from YouTube using python then we'll load these video captions into a paret file and then we'll transform these captions into text embeddings so this is our data pipeline that I'll discuss in the next video since I am using an elt extract load and transform Paradigm here technically this will actually be in Phase 2 elt sounds better than e so that's why I put it all here okay so that brings us to the end I hope you got some value out of this video like I mentioned in the previous video this whole series is part of my own own personal learning process so if you have any questions or suggestions on this project please drop those in the comment section below those are very valuable to me and as always thank you so much for your time and thanks for watching
O5i_mMUM94c,2024-04-19T14:05:54.000000,How I’d learned #datascience (if I had to start over) ￼,here's how I'd learn data science if I had to start over I start by making a YouTube playlist with high level introductions to data science and putting together a list of Articles to read on the subject next I'd set up 10 interviews with data scientists to learn from people that are actually doing it I'd ask basic questions like what is data science how did you get into it and do you have any advice for me next I'd do a project learning from others can only get you so far eventually you need to get your hands on the keyboard if I was super green I'd start with a basic project using data from kaggle however if I'm starting with some adjacent experience I try to grab some data from The Real World and solve a real problem then finally I teach someone what I learned by making a YouTube video about the project or writing an article
xm9devSQEqU,2024-04-18T15:59:02.000000,4 Skills You Need to Be a Full-Stack Data Scientist,although it is common to delegate different parts of the machine learning workflow to specialized roles there are many situations which require individuals who can manage and Implement ml Solutions end to end I call these individuals full stack data scientists in this video I will introduce full stack data science and discuss its four hats and if you're new here welcome I'm Shaw I make videos about data science and Entrepreneurship and if you enjoy this content please consider subscribing that's a great no cost way you can support me in all the videos that I make starting with the basic question what is a fullstack data scientist so the way I'll Define it here is that a full stack data scientist is someone who can manage and Implement an ml solution from end to end in other words they have a sufficient understanding of the entire ml workflow which gives them a unique ability to bring ml solutions to reality so typical ml workflow might look something like this you'll start by diagnosing the business problem and designing an ml solution to that problem next with a design in mind you'll move on to sourcing and preparing the data for solution development then you'll develop the solution so in other words you'll train a machine learning model and then finally you will deploy Your solution so you'll integrate that machine learning model into existing workflows or into a product given the rise of specialized roles for each aspect of this machine learning workflow this idea of a full stag data scientist might seem a bit outdated and this was my thinking when I was working as a data scientist at a large Enterprise where we had a data engineering team and an ml engineering team and I was sitting on the data science team however over time the value of learning the entire Tex stack has become more and more obvious to me the spark for this realization and change in perspective for me happened around last year where I was interviewing top data science Freelancers on upwork one of the key takeaways from these interviews was that data science skills alone provide no value while this might sound like a provocative statement think of it like this if I'm a freelancer I'm probably going to be talking with small to medium-sized businesses and most of the times these businesses don't have a data science function that's the whole reason they're hiring a freelancer and so they often don't have the data infrastructure to provide the foundation for training machine learning models that means if I want to come in as a data scientist and train a machine learning model I need to be able to extract the data prepare the data and make it available for training but it doesn't stop there once the model is trained it needs to be integrated into their existing workflows and again they probably don't have a machine learning engineer on staff that can do this work so in order for the value to be realized that's something I would need to do as a freelancer the data science skills the model training piece of the ml workflow is sandwiched in between the data engineering piece and the ml engineering piece while it is an important part of the workflow it can't even happen if the data aren't available for model training and it can't provide any impact if it's not implemented into the real world however freelance isn't the only context where knowing the full Tech stack is valuable even if you're not a freelancer working with small to mediumsized businesses say if you're a full-time employee at one of these companies they are often in the early stages of their data maturity and AI maturity so you might be the only resource or part of a small team of resources that are responsible for implementing the AI strategy of the company another situation might be you work at a large Enterprise but you're embedded in a team where you are the lone AI contributor so in that situation you may not have a ton of support on the data engineering side or the ml engineering side to implement machine learning Solutions and then finally if you're a Founder that wants to build a machine learning product you're going to need skills from all aspects of the Tex deack because often you're the only person in your company and it's on you to build the product from end to end so that brings us to what I like to call the four hats of a full stack data scientist and each of these corresponds to key parts of the machine learning workflow so hat one is the project man manager so that diagnosing problems and designing Solutions piece of the workflow hat two is the data engineer so the sourcing and preparing of the data hat three is the data scientist so training the machine learning model and hat four is the ml engineer which consists of deploying the ml solution starting with hat one the project manager the way I see it the key role of a project manager is to answer three questions what why and how more specifically what are we building why are we building it and how are we going to build it while this might sound simple enough it's not uncommon for people to gloss over or skip this step entirely perhaps especially for technical folks who really want to dive into the implementation and building the model so it might be like this Meme here the technical folks are more excited about coding than necessarily doing this project management work but the reason it's important is that if you skip over this step you run the risk of spending a lot of time money solving the wrong problem and even if you are solving the right problem you may solve it in an unnecessarily complex and expensive way all that to say taking some time at the outset of any project to stop and think about the problem you're trying to solve and the solution that you want to build can save you a lot of time and wasted effort so the way I see it the key skills involved with the project manager hat are communication and managing relationships the reason for this first one is that as data scientist s or full stack data scientists you're probably not going to be solving your own problems more often than not you're solving other people's problems and what this typically looks like is you're talking with stakeholders to better understand their problem and talk through potential Solutions the next key skill is the ability to diagnose problems and design Solutions diagnose problems comes down to finding the root cause for why something is going wrong and then designing Solutions isn't just about automatically throwing AI at problem but thinking through the value and the costs of each potential solution in making your decision and then the final key skill is being able to estimate project timelines costs and defining requirements and again while this work may not seem as exciting as the technical stuff the coding the implementation Etc doing this step right can save you a lot of headaches down the line next we have hat two which is that of a data engineer so in the context of full stack data science what data engineering is all about is making data readily available for model development or inference data Engineering in this context has one key difference than what we might call traditional data engineering at a large Enterprise at a large Enterprise the bulk of the data engineering work is often optimizing data architectures to support a wide range of business use cases on the other hand in the context of full stack data science the work is typically more product Focus focused while having some understanding of how to design flexible databases is important the type of data engineering work you would do in this full stat context is more concerned with building data pipelines so this will be creating ETL processes which stands for extract transform and load as well as data monitoring so giving visibility to data flowing through your pipeline and all the data related to your machine learning product some of the key skills that come up here are are much more technical than what we saw on the previous slide so python has really become a standard among data Engineers python can be used for a wide range of tasks such as the extract process so scraping web pages or working with apis transforming the data so this could be things like d duplication exception handling feature engineering knowing SQL is a must especially if you're loading this data into a database which is going to be queried in some Downstream task also a basic understanding of command line interface tools while there are a lot of gooey based applications for data engineering being able to use command line tools allows you to automate and scale processes a bit more easily next we have building data pipelines so this could be things like ETL or elt again ETL is extract transform and load while elt is extract load and transform these will depend on the details of your use case that I'll talk about in a later video but common tools for building data pipelines are airflow which is an orchestration tool and Docker which is a containerization tool and then finally while you can definitely have your own servers and compute to acquire and store your data these days it's common to implement these data pipelines and data stores on some sort of cloud platform The Big Three are AWS gcp or Azure next we have Hat number three which is the data scientist hat my definition of a data scientist is someone who leverages regularities in data to drive impact and since computers are much better than us at finding regularities and patterns in data what this often boils down to is training a machine learning model what this typically looks like is you start with the real world which consists of things that you care about what we do is we'll collect data about those specific things that we care about and then we'll use that data to train a model and the model can be used to make a prediction such as the probability that someone will buy our product based on their demographics or their behavior or something else it could be the probability that they don't pay back their credit card bill based on their credit score and other things and so on and so forth there are countless applications of machine learning models but the role of the data scientist doesn't just stop with training the model what's just as important if not more important is how one evaluates the model so defining performance metrics that are meaningful and in the best case scenario the performance metrics you use to evaluate the model can be tied back to key business performance metrics so that there's a clear mapping between model performance and business impact and the nature of training models is very experimental and iterative so what often happens is that you'll go through this whole workflow you'll evaluate the model and you'll learn something and that'll create a feedback loop for the data scientist to update the algorithm used to train the model or the specific hyperparameters used or the specific features used in the model or the data scientist might realize there are inconsistencies in the data which requires to kind of go back to the data engineering step of the workflow and make some changes in how the data are transformed or they may realize that the data aren't sufficient so one has to go back and collect even more data and finally you may evaluate the model and realize that some of of your assumptions about how the real world processes work were flawed for example at the project outset you may have assumed a particular variable was a key driver in something that you cared about but then upon training your model you may realize that that specific variable doesn't have the predictive performance that you initially hoped so this requires you to kind of go back to the drawing board and rethink your assumptions about the specific use case this very iterative and experimental whole process makes data science in many ways more art than science which is one of the reasons I like doing it so much flexus one's creativity but it also introduces a fair amount of uncertainty into the model development process some of the key skills of the data scientist had is probably first and foremost python some common data science libraries include pandas and poers this provides data structures for working with data and ways to manipulate data there's sklearn which is a popular machine learn learning library it has several machine learning algorithms readily available and then finally there are deep learning libraries like tensor flow or pytorch which allow you to train neural networks another key skill is exploratory data analysis even before you train the model there's usually a step in between here where one looks at the data looking at distributions looking how different variables track with one another if there any missing values if there any duplicates double checking the quality of the Data before training a model on it and then finally model development and everything that goes into that one of the most important things is experiment tracking because there are so many knobs in dials that go into training a model such as the algorithm you choose the hyperparameters for the algorithm the train test split of the data the features used in your model the performance of the model and keeping track of all this information is very valuable when you're trying to discover the best performing model the fourth and final hat is that of the ml engineer and what this consists of is turning your machine learning model into a machine learning solution what I mean by that is a model in of itself provides very little value it's probably going to be implemented in Python so it's going to require you to run a python script and provide a particular data and then it'll spit something out and that output may not be inherently meaningful by itself so taking that model and embedding it into an existing workflow or a broader software solution is a critical part of this process so a very common way of deploying machine learning models is as follows you'll take your model and you'll containerize it which means you'll create a modular version of the model that can be deployed in many different contexts and this is typically done using Docker however the model just sitting in this container still doesn't provide a whole lot of value so a simple way to allow this container to talk to external applications or external workflows is by adding an API to it what this allows is that if you have some AI app let's say this is an internal website that allows employees to look up specific information users can write in a query into the user interface this will get sent to the machine learning model and then the API will spit back a response this is a very common and simple design you just have a container container version of the model and you slap an API on top of it two popular tools for doing this are Docker for the containerization bit and then fast API which is a python library that allows you to create apis for Python scripts however some use cases may not be so simple and require more sophisticated Solutions you know maybe something like this where you have your production model with the API SLA on top of it but you also want to do consistent model monitoring and you want to do some automated model retraining say every single month so if you want to do the retraining you're going to have to ingest data in an automated way do the ETL process to put it into a database maybe you also want to do some data monitoring so you slap that on top of the database as well this process data gets passed to a model retraining module which then gets pushed to the production model after some automated checks or something like that so for these more sophisticated Solutions you're probably going to want to use an orchestr ation tool like airflow which provides a abstract way to connect these different pieces of software together so the key skills for the ml engineering had is to containerize scripts using Docker and to build apis using perhaps fast API another key skill is orchestrating multiple data and machine learning processes together so connecting data and ml pipelines and a popular tool for that these days is airflow and then again while you could Implement all these Solutions on your local machine or some local hardware it's common practice these days to deploy these Solutions in the cloud while I've been doing data science for 5 years I would say I am just at the beginning of my journey toward becoming a full stack data scientist and while it might seem like this daunting and overwhelming task of learning the full Tex stack the way I think about it is that it's not about learning everything it's not about learning every single detail and skill involved in the machine learning workflow but rather it's about learning anything necessary to implement your particular solution and so the way I see it the best way to become a full stack data scientist is taking a more bottomup approach as opposed to a top- down approach as problems arise learn just enough to solve that problem and move on to the next thing on this journey of becoming a full stack data scientist here are three principles that I'm personally following the first is to have a reason to learn new skills there are many ways one can do this I'm personally building out my own projects and products both as a way to learn and as a way to solve specific problems that come up for me however there are other ways Beyond personal projects you know freelancing is a great opportunity instead of solving your own problems you're solving other people's problems which are going to require you to learn all aspects of the tech stack and indeed most of the Freelancers I know have skills across the entirety of the text de the second is to learn just enough to be dangerous this goes to this idea of not worrying about learning every single little detail but learning whatever is necessary to solve the problem in front of you then finally to keep things as simple as possible there are countless tools Technologies libraries Frameworks Solutions best practices for doing machine learning these days and it's easy to get so caught up in the best PR practices and what's scalable that you end up over complicating the project so in my view Simplicity is the best guide for building machine learning Solutions this video is part of a larger Series in upcoming videos I will Implement a machine learning project end to endend walking through each of the four hats discussed here so specifically I'm going to build a semantic search system that allows people to search across all of my YouTube videos I'll walk through each hat where I'll have a video for each one of these I'll do the project manager hat walking through AI project management estimating time and costs defining requirements I'll do the data engineering stuff which is walking through the data acquisition building the data Pipeline and creating the data store then hat three I'll walk through the solution development the experimentation phase and then evaluating the solution finally I'll do a video on the ml engineering so deploying the solution the container process and building an API so that brings us to the end I hope you got some value from this video this video and the others in this series are all part of my own personal learning process toward that end if you feel like anything's missing or you have suggestions for future content I invite you to drop those in the comment section below those are very valuable to me personally and as always thank you so much for your time and thanks for watching
Z6CmuVEi7QY,2024-04-11T10:00:27.000000,How I'd Learn Data Science (if I started over),when I was first learning data science it was easy to get overwhelmed by the mountain of buzzwords and technical details and hard to know exactly where to start while the number of buzzwords has only seemed to increase since I started I now have a much clearer view of the space and its essential elements in this video I'll answer one of the most common questions I receive which is how would you learn data science if you had to start over today I can honestly say this is the exact approach I would use because I'm currently foll following it to learn data engineering and ml engineering and if you're new here welcome I'm Shaw I make videos about data science and Entrepreneurship and if you enjoyed this content please consider subscribing that's a great no cost way you can support me in all the videos that I make I've been doing data science for the past 5 years in a few different contexts including research freelance and corporate one of the biggest challenges of learning data science is that it consists of a constantly changing ocean of Technologies the best way I found to cope with this constant change is to just get really good at learning and the way I see it there are four ways we can learn the first way is through consuming content this includes reading books taking courses watching YouTube videos second is through mentorship and learning from those who are ahead of you third is by doing so getting your hands on the keyboard and the fourth is by teaching when it comes to learning a comp completely new subject or field I combined these four methods into a four-step strategy here I'm going to walk through what that might look like for data science step by step the first step is to consume content this is especially important if I know absolutely nothing about the field I'm always amazed by the amount of clarity I can gain from Reading one good article or watching One Good YouTube video on a subject unfortunately what makes a good resource will vary from person to person for example I prefer to read revieww papers and other scientific articles when available however if you would have given me a paper to read when I was an undergrad I probably wouldn't have read it and even if I did I probably would not have gotten much out of it so it's important to find which modalities work best for you to get started I'd go to Google Scholar and search something like data science review here I'd be mainly looking for titles that sound interesting and relevant and looking at the number of citations each article has received to be clear this isn't meant to be a literature review so I'll typically pick out one to three articles that seem relevant next I'd go to YouTube and search something like what is data science similar to Google Scholar I'd evaluate videos based on their title and number of views so while doing these searches it's important to point out that I'm not actually reading these papers or watching these videos I'm just getting all these resources together to consume them later to actually consume the content I'll block time on my calendar specific spefically for learning this is important because it increases the probability that I'll actually do it I personally like to do my reading first thing in the morning while watching YouTube videos is something I can really do anytime either way I'll have my notes app open while consuming the content to take notes on key things that stand out to me and ensuring I site my sources in case I want to come back to them later or share it with anyone else although I recommend you do this kind of search for yourself I've linked a few resources in the description below in case it's a helpful jumping off point after getting a basic grounding of data science through consuming content I start reaching out to professional data scientists to see if they'd be willing to talk to me about their experience learning from those ahead of me is one of the greatest hacks I've learned for growth this is something that I did when first exploring entrepreneurship in the data space and something I'm doing currently in learning data engineering and ml engineering I found that interviewing 10 people is a good number because it gives a nice diversity of perspectives to help give a broad view of the field but of course getting 10 Busy professionals to talk to you is much easier said than done here's how I would do it I'd go to LinkedIn and search for data scientists that I'm directly connected with then I'd shoot them a DM saying something like hey hope things are going well I'm currently doing interviews with data scientists as part of an effort to expand my technical data skills would you be willing to do a call sometime this month if the person doesn't respond within a few days I'd follow up with something like hey I wanted to follow up did you get a chance to look at my previous message doing this recently for data and ml Engineers more than 50% of people responded to my messages of course this will vary from person to person but if we assume that 50% of the people you reach out to respond and of those 50% another 50% agree to talk to you that means you need to reach out to 40 data scientists in order to talk to 10 of them I'm personally connected to hundreds of data scientists on LinkedIn so this would be no problem for me however if I was only connected to say 20 data scientists I'd take the following approach I'd add more personalization to that initial reach out and be sure to follow up a third time for those who don't respond to the first two messages this should increase the number of people that actually respond to my request if this doesn't get the 10 interviews I'd expand my Outreach to data scientists I have at least one mutual connection with reaching out to strangers naturally has a lower success rate so personal iation and follow-ups are even more important for these contexts when actually getting on the calls with these professionals I'd ask basic questions like what is data science how did you get started what kind of projects are you working on these days what does your Tech stack look like and do you have any advice for me I'd be sure to take notes on these calls so I can compare different interviewees perspectives and do any deep dives into specific tools or resources that they mention in other words i' jump back to Step One to to fill in any gaps that may have come up during the interviews consuming content and learning from others can only get you so far eventually you need to get your hands on the keyboard and start doing this is where doing a data science project comes in if I was completely new to programming and analytics I would start with a very basic project like creating a simple data visualization what this might look like is installing python on my machine downloading an interesting data set from kaggle loading it in with pandas or polers processing the data in some way whether that's cleaning the data or doing some sort of analytics and then finally visualizing the data with matte plot lip if I was starting with some adjacent experience in say python or statistics I'd try to grab data from The Real World and solve a meaningful problem some examples of this might be creating a model to automatically create chapters for my YouTube videos predicting the click-through rate of a video based on the thumbnail and the title or building a web app that allows people to do semantic search over all my YouTube videos and blogs I find that doing projects to solve real world problems are not only more rewarding but much more instructive than purely academic ones as I make progress on the project I'd likely be jumping back to steps one and two as needed so to either read up on a specific approach or technology or to ask people with more experience for guidance in case I get stuck once I've completed my first project i' move on to the final step of teaching in my opinion teaching is the ultimate way to learn and the main reason why I make YouTube videos when explaining something to others I'm forced to distill my understanding into clear and concise language in this process I find that I'll stumble upon gaps in my understanding that I didn't realize were there this provides me the opportunity to bridge these gaps and learn more the three teaching modalities that I found most helpful are making YouTube videos writing medium articles and giving presentations I really like the first two methods cuz I can do them anywhere at any time the third method is also great because I get the added pressure of talking to a live audience and taking their questions but of course this requires a bit more work to make happen so to keep things simple I'd make a slide deck outlining my project and key learnings and then make a YouTube video of me walking through it although many will agree that teaching is a great way to learn most won't follow through on this they might be thinking what if I say the wrong thing what are people going to say about me what if I embarrass myself the best strategy I found for overcoming these fears is focusing on my own personal development and growth in other words it doesn't matter what other people think as long as I'm learning and for me these fears actually serve as F to help make sure that I really understand what I'm sharing and in the inevitable case that I do make a mistake that's beneficial too because those those public mistakes tend to stick much better than the private ones while this four-step strategy is simple putting it into practice may present some unexpected challenges to help with that here are three key habits I find helpful for learning first is to make room for it like I mentioned earlier I find it critical to block time for learning to ensure that it actually gets done for me this has helped develop this habit for continual learning the second is be willing to look dumb one of the biggest mistakes I made early in my educational career was an unwillingness to look dumb what this typically looked like was staying quiet and not asking questions when someone was telling me something I didn't really understand when I overcame this fear in grad school it unlocked a whole new level of learning and progress and third pursue curiosity again data science is an ocean of Technologies even if you spend every waking moment of everyday learning you still wouldn't come close to learning everything that's why I find it much more productive to pursue topics that peique my interest this is what makes data science fun even if the topics are technically challenging at first so that brings us to the end I hope this video was helpful to you in some way if you have any data science questions feel free to share them in the comments below or feel free to set up some office hours using the link in the description and as always thank you so much for your time and thanks for watching
